City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Green River,US,2022-09-24 03:46:01,41.5286,-109.4662,57.6,30,0,3.0,clear sky
60,Fortuna,US,2022-09-24 03:47:23,40.5982,-124.1573,58.35,88,4,4.38,clear sky
61,Aklavik,CA,2022-09-24 03:47:24,68.2191,-135.0107,36.32,87,100,3.18,overcast clouds
62,Kruisfontein,ZA,2022-09-24 03:47:24,-34.0033,24.7314,55.89,84,100,4.81,overcast clouds
63,Palu,ID,2022-09-24 03:47:25,-0.8917,119.8707,85.23,78,66,2.44,broken clouds
64,Locri,IT,2022-09-24 03:47:25,38.2414,16.2623,60.89,44,0,5.99,clear sky
65,Geraldton,AU,2022-09-24 03:47:26,-28.7667,114.6,61.21,94,75,16.11,broken clouds
66,Avarua,CK,2022-09-24 03:47:26,-21.2078,-159.775,77.05,65,20,11.5,few clouds
67,Clyde River,CA,2022-09-24 03:47:26,70.4692,-68.5914,26.83,74,100,11.5,overcast clouds
68,Thompson,CA,2022-09-24 03:47:27,55.7435,-97.8558,57.36,67,40,10.36,scattered clouds
69,Meulaboh,ID,2022-09-24 03:47:27,4.1363,96.1285,83.7,65,94,4.63,overcast clouds
70,Airai,TL,2022-09-24 03:47:28,-8.9266,125.4092,80.13,35,57,3.78,broken clouds
71,Gornozavodsk,RU,2022-09-24 03:47:28,58.3758,58.3211,48.6,84,80,11.12,broken clouds
72,Jacareacanga,BR,2022-09-24 03:47:29,-6.2222,-57.7528,76.55,64,33,1.21,scattered clouds
73,Yellowknife,CA,2022-09-24 03:47:29,62.456,-114.3525,52.32,50,75,5.75,broken clouds
74,Sundargarh,IN,2022-09-24 03:47:30,22.1167,84.0333,82.29,75,41,4.88,scattered clouds
75,Acapulco,MX,2022-09-24 03:44:00,16.8634,-99.8901,78.85,85,73,3.18,broken clouds
76,Omis,HR,2022-09-24 03:47:31,43.4447,16.6886,55.33,63,44,4.88,scattered clouds
77,Mapiripan,CO,2022-09-24 03:47:31,2.8892,-72.1256,74.05,93,77,4.16,broken clouds
78,Victoria,HK,2022-09-24 03:43:41,22.2855,114.1577,88.03,60,58,8.99,broken clouds
79,Srednekolymsk,RU,2022-09-24 03:47:32,67.45,153.6833,37.98,68,98,1.57,overcast clouds
80,Tiksi,RU,2022-09-24 03:47:32,71.6872,128.8694,33.48,79,82,12.5,broken clouds
81,Lebu,CL,2022-09-24 03:45:53,-37.6167,-73.65,46.69,86,5,16.75,clear sky
82,Teguldet,RU,2022-09-24 03:47:33,57.3064,88.1667,43.66,59,68,7.25,broken clouds
83,Chipinge,ZW,2022-09-24 03:47:33,-20.1883,32.6236,58.66,79,5,4.85,clear sky
84,Mount Gambier,AU,2022-09-24 03:47:34,-37.8333,140.7667,55.71,44,6,7.96,clear sky
85,Baykit,RU,2022-09-24 03:47:34,61.67,96.37,37.85,80,92,8.08,overcast clouds
86,Bredasdorp,ZA,2022-09-24 03:47:34,-34.5322,20.0403,46.47,82,21,0.96,few clouds
87,Aswan,EG,2022-09-24 03:47:35,24.0934,32.907,79.9,24,0,3.44,clear sky
88,Omboue,GA,2022-09-24 03:47:35,-1.5746,9.2618,75.76,88,100,6.82,overcast clouds
89,San Jeronimo,PE,2022-09-24 03:48:36,-11.9472,-75.2829,52.79,74,93,2.24,overcast clouds
90,Warah,PK,2022-09-24 03:48:36,27.4481,67.7978,90.93,52,34,6.69,scattered clouds
91,Pevek,RU,2022-09-24 03:48:36,69.7008,170.3133,30.97,78,99,16.91,overcast clouds
92,Changji,CN,2022-09-24 03:48:37,44.0167,87.3167,79.59,15,0,2.24,clear sky
93,Barrow,US,2022-09-24 03:48:37,71.2906,-156.7887,33.82,80,100,13.8,light snow
94,Fort Nelson,CA,2022-09-24 03:45:16,58.8053,-122.7002,58.59,33,75,6.91,broken clouds
95,Arraial Do Cabo,BR,2022-09-24 03:48:38,-22.9661,-42.0278,67.96,64,75,13.8,broken clouds
96,Mayumba,GA,2022-09-24 03:48:39,-3.432,10.6554,74.84,88,100,4.85,light rain
97,Mountain Home,US,2022-09-24 03:48:39,43.133,-115.6912,63.88,29,0,8.05,clear sky
98,Mount Isa,AU,2022-09-24 03:48:39,-20.7333,139.5,85.77,15,1,8.05,clear sky
99,Odweyne,SO,2022-09-24 03:48:40,9.4092,45.064,73.89,56,97,10.92,overcast clouds
100,Muros,ES,2022-09-24 03:48:40,42.7762,-9.0603,62.1,82,13,12.91,few clouds
101,Chokurdakh,RU,2022-09-24 03:48:41,70.6333,147.9167,38.52,62,42,7.0,scattered clouds
102,Edremit,TR,2022-09-24 03:48:41,39.5961,27.0244,49.75,81,0,8.05,clear sky
103,Vaini,TO,2022-09-24 03:48:22,-21.2,-175.2,78.96,83,75,8.05,broken clouds
104,Mecca,SA,2022-09-24 03:48:42,21.4267,39.8261,85.89,30,6,1.32,clear sky
105,Shrewsbury,GB,2022-09-24 03:48:42,52.7101,-2.7521,48.51,97,100,4.61,overcast clouds
106,Shimoda,JP,2022-09-24 03:48:43,34.6667,138.95,77.36,92,90,1.81,overcast clouds
107,Ambon,ID,2022-09-24 03:48:43,-3.6954,128.1814,89.74,62,20,5.75,few clouds
108,Port Alfred,ZA,2022-09-24 03:48:44,-33.5906,26.891,60.19,95,100,3.0,overcast clouds
109,Puerto Leguizamo,CO,2022-09-24 03:48:44,-0.1934,-74.7819,71.42,98,98,5.48,overcast clouds
110,Callaguip,PH,2022-09-24 03:48:44,18.0714,120.4867,87.82,74,75,12.66,broken clouds
111,Hobart,AU,2022-09-24 03:44:00,-42.8794,147.3294,51.66,66,75,14.97,broken clouds
112,Tezu,IN,2022-09-24 03:44:24,27.9167,96.1667,73.89,98,100,1.66,overcast clouds
113,Coihueco,CL,2022-09-24 03:48:45,-36.6167,-71.8333,50.74,93,0,4.61,clear sky
114,Caraquet,CA,2022-09-24 03:48:46,47.7941,-64.9386,50.54,89,100,27.16,moderate rain
115,Sitka,US,2022-09-24 03:48:46,57.0531,-135.33,55.29,76,75,10.36,broken clouds
116,Norman Wells,CA,2022-09-24 03:48:46,65.282,-126.8329,37.44,75,100,9.22,overcast clouds
117,Cidreira,BR,2022-09-24 03:48:47,-30.1811,-50.2056,51.62,81,1,9.15,clear sky
118,Longyearbyen,SJ,2022-09-24 03:48:47,78.2186,15.6401,42.64,81,75,12.66,broken clouds
119,Oistins,BB,2022-09-24 03:48:48,13.0667,-59.5333,82.49,74,40,12.66,scattered clouds
120,Richards Bay,ZA,2022-09-24 03:48:48,-28.783,32.0377,64.08,86,12,3.18,few clouds
121,Saint-Philippe,RE,2022-09-24 03:48:49,-21.3585,55.7679,71.19,79,44,13.73,scattered clouds
122,Mahebourg,MU,2022-09-24 03:48:49,-20.4081,57.7,73.26,68,40,11.5,scattered clouds
123,Nouakchott,MR,2022-09-24 03:48:49,18.0858,-15.9785,82.33,80,88,13.33,light rain
124,Bengkulu,ID,2022-09-24 03:48:50,-3.8004,102.2655,82.0,70,58,5.06,broken clouds
125,Lata,PT,2022-09-24 03:44:14,40.1629,-8.3327,60.08,97,100,2.64,overcast clouds
126,Vieques,PR,2022-09-24 03:48:50,18.425,-65.8329,83.1,78,0,0.0,clear sky
127,Luderitz,NA,2022-09-24 03:48:51,-26.6481,15.1594,53.24,81,28,11.01,scattered clouds
128,Okhotsk,RU,2022-09-24 03:48:52,59.3833,143.3,46.27,43,3,5.01,clear sky
129,San Cristobal,VE,2022-09-24 03:48:52,7.7669,-72.225,68.18,98,99,1.57,overcast clouds
130,Kavaratti,IN,2022-09-24 03:48:52,10.5669,72.642,81.84,73,16,10.58,few clouds
131,Natitingou,BJ,2022-09-24 03:48:53,10.3042,1.3796,69.94,96,100,2.68,light rain
132,Khandyga,RU,2022-09-24 03:48:53,62.6667,135.6,37.58,75,100,8.08,light rain
133,Paamiut,GL,2022-09-24 03:48:54,61.994,-49.6678,47.14,94,100,41.16,moderate rain
134,Olafsvik,IS,2022-09-24 03:48:54,64.8945,-23.7142,50.41,94,100,18.52,overcast clouds
135,Champerico,GT,2022-09-24 03:49:54,14.3,-91.9167,78.55,88,99,9.26,overcast clouds
136,Lavrentiya,RU,2022-09-24 03:49:39,65.5833,-171.0,39.69,75,100,21.34,overcast clouds
137,Meadow Lake,US,2022-09-24 03:49:55,34.8014,-106.5436,69.4,60,39,4.72,scattered clouds
138,Georgetown,MY,2022-09-24 03:47:50,5.4112,100.3354,84.88,82,20,5.01,few clouds
139,Biloela,AU,2022-09-24 03:49:56,-24.4167,150.5,82.35,28,0,9.91,clear sky
140,Byron Bay,AU,2022-09-24 03:49:56,-28.65,153.6167,78.71,53,8,3.91,clear sky
141,Labuhan,ID,2022-09-24 03:49:57,-6.8844,112.2051,89.89,53,9,5.64,clear sky
142,Khatanga,RU,2022-09-24 03:49:57,71.9667,102.5,29.26,70,99,7.54,overcast clouds
143,Forest,US,2022-09-24 03:49:57,37.3638,-79.2897,55.45,79,0,5.75,clear sky
144,Teknaf,BD,2022-09-24 03:49:58,20.8624,92.3058,85.05,72,100,2.15,overcast clouds
145,Palmer,US,2022-09-24 03:49:58,42.1584,-72.3287,49.44,66,0,8.05,clear sky
146,Tommot,RU,2022-09-24 03:49:59,58.9564,126.2925,49.41,69,94,5.12,overcast clouds
147,Hovd,MN,2022-09-24 03:49:59,48.0056,91.6419,62.85,24,7,4.43,clear sky
148,Guerrero Negro,MX,2022-09-24 03:50:00,27.9769,-114.0611,74.14,71,1,13.53,clear sky
149,Havelock,US,2022-09-24 03:50:00,34.8791,-76.9013,63.93,81,0,4.88,clear sky
150,Lake Elsinore,US,2022-09-24 03:50:00,33.6681,-117.3273,83.59,39,1,1.01,clear sky
151,Muravlenko,RU,2022-09-24 03:50:01,63.7898,74.523,36.72,81,64,14.27,broken clouds
152,New Norfolk,AU,2022-09-24 03:48:25,-42.7826,147.0587,51.3,76,100,1.99,overcast clouds
153,Auki,SB,2022-09-24 03:50:02,-8.7676,160.7034,86.49,57,17,2.59,few clouds
154,Northam,GB,2022-09-24 03:50:02,51.0333,-4.2167,56.61,83,82,9.31,broken clouds
155,Esna,EG,2022-09-24 03:50:03,25.2934,32.554,75.22,20,0,3.6,clear sky
156,Sistranda,NO,2022-09-24 03:50:04,63.7256,8.834,44.56,83,94,8.61,light rain
157,Zeya,RU,2022-09-24 03:50:04,53.75,127.2667,59.5,46,59,3.11,broken clouds
158,Ancud,CL,2022-09-24 03:50:05,-41.8697,-73.8203,44.22,86,58,2.98,broken clouds
159,Saskylakh,RU,2022-09-24 03:50:05,71.9167,114.0833,27.57,70,100,3.49,overcast clouds
160,Alekseyevsk,RU,2022-09-24 03:50:06,57.8406,108.3492,39.97,80,100,8.37,light rain
