City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Laguna,US,2022-09-23 20:44:34,38.421,-121.4238,89.31,36,0,4.0
67,Azangaro,PE,2022-09-23 20:44:35,-14.9167,-70.2167,55.45,46,94,8.95
68,Touros,BR,2022-09-23 20:44:35,-5.1989,-35.4608,77.67,79,9,13.76
69,Turbat,PK,2022-09-23 20:44:36,26.0023,63.044,80.87,71,42,7.05
70,Varna,BG,2022-09-23 20:44:36,43.2167,27.9167,54.45,87,13,2.3
71,Mirabad,AF,2022-09-23 20:44:37,30.4362,61.8383,80.1,14,0,14.07
72,Remedios,CU,2022-09-23 20:44:37,22.4947,-79.5458,83.32,65,13,11.43
73,Clyde River,CA,2022-09-23 20:44:38,70.4692,-68.5914,30.43,69,100,14.97
74,Port-Cartier,CA,2022-09-23 20:44:38,50.0334,-66.8654,55.62,60,80,14.07
75,East London,ZA,2022-09-23 20:43:02,-33.0153,27.9116,63.0,80,100,10.94
76,Becerril,CO,2022-09-23 20:44:39,9.7041,-73.2793,84.49,73,100,1.63
77,Ilulissat,GL,2022-09-23 20:44:39,69.2167,-51.1,34.3,100,100,1.03
78,Kruisfontein,ZA,2022-09-23 20:44:40,-34.0033,24.7314,55.89,63,100,4.94
79,Sambava,MG,2022-09-23 20:44:40,-14.2667,50.1667,70.74,95,100,10.92
80,Richards Bay,ZA,2022-09-23 20:44:41,-28.783,32.0377,68.38,77,100,10.54
81,Cayenne,GF,2022-09-23 20:41:40,4.9333,-52.3333,87.84,62,0,8.05
82,Carbonia,IT,2022-09-23 20:44:41,39.1672,8.5222,73.0,75,25,4.38
83,Yorosso,ML,2022-09-23 20:44:42,12.3536,-4.7761,77.16,78,52,3.96
84,Maarianhamina,AX,2022-09-23 20:44:42,60.0973,19.9348,53.46,94,0,5.75
85,Svetlyy,RU,2022-09-23 20:44:43,54.675,20.1347,50.05,83,100,4.7
86,Port Elizabeth,ZA,2022-09-23 20:44:43,-33.918,25.5701,61.09,76,100,8.05
87,Umm Lajj,SA,2022-09-23 20:44:43,25.0213,37.2685,85.75,51,0,5.03
88,Sandwick,GB,2022-09-23 20:44:44,60.0,-1.25,49.82,87,40,2.3
89,Rio De Janeiro,BR,2022-09-23 20:44:02,-22.9028,-43.2075,67.95,70,100,16.11
90,Ponta Delgada,PT,2022-09-23 20:44:44,37.7333,-25.6667,75.51,88,40,11.5
91,Los Llanos De Aridane,ES,2022-09-23 20:44:45,28.6585,-17.9182,71.35,92,40,11.5
92,Baghdad,IQ,2022-09-23 20:45:11,33.3406,44.4009,82.31,34,0,13.8
93,Akureyri,IS,2022-09-23 20:45:46,65.6835,-18.0878,53.53,47,0,17.27
94,Coihaique,CL,2022-09-23 20:45:46,-45.5752,-72.0662,49.95,50,75,8.05
95,Manadhoo,MV,2022-09-23 20:45:46,5.7667,73.3833,82.22,72,6,9.93
96,Buraydah,SA,2022-09-23 20:45:47,26.326,43.975,86.45,18,0,11.07
97,Mettur,IN,2022-09-23 20:45:47,11.8,77.8,75.15,79,49,3.04
98,Bozuyuk,TR,2022-09-23 20:45:48,39.9078,30.0367,50.29,94,18,4.03
99,Klaksvik,FO,2022-09-23 20:45:48,62.2266,-6.589,49.12,85,3,13.69
100,Cidreira,BR,2022-09-23 20:45:49,-30.1811,-50.2056,57.6,64,4,15.77
101,Santa Rosa,PH,2022-09-23 20:41:01,14.3122,121.1114,78.12,94,98,1.36
102,Kargasok,RU,2022-09-23 20:45:49,59.0556,80.8572,38.12,83,100,5.82
103,Ilek,RU,2022-09-23 20:45:50,51.5271,53.3831,70.27,26,89,14.47
104,Tucurui,BR,2022-09-23 20:44:49,-3.7661,-49.6725,89.58,40,59,2.46
105,Botucatu,BR,2022-09-23 20:45:50,-22.8858,-48.445,59.74,48,2,5.23
106,Tortoli,IT,2022-09-23 20:45:51,39.9256,9.6572,67.82,64,20,11.5
107,Tocopilla,CL,2022-09-23 20:45:51,-22.092,-70.1979,62.74,63,21,7.58
108,Saint-Joseph,RE,2022-09-23 20:45:52,-21.3667,55.6167,68.38,77,27,13.98
109,Walvis Bay,NA,2022-09-23 20:45:52,-22.9575,14.5053,56.35,82,0,2.3
110,Luanda,AO,2022-09-23 20:45:52,-8.8368,13.2343,73.4,83,20,9.22
111,Iberia,US,2022-09-23 20:45:53,29.9502,-91.7507,95.0,46,0,4.61
112,Snezhnogorsk,RU,2022-09-23 20:45:53,69.1933,33.2531,47.98,90,100,9.19
113,Jamame,SO,2022-09-23 20:45:54,0.0722,42.7506,74.41,87,47,8.41
114,Piraquara,BR,2022-09-23 20:45:54,-25.4417,-49.0633,61.09,47,0,12.66
